iter	Logloss
0	0.682453878
1	0.6742737349
2	0.6679756315
3	0.6631465077
4	0.6595126672
5	0.6566186332
6	0.6544440199
7	0.6526441514
8	0.6511672397
9	0.6500922341
10	0.6491087556
11	0.6483228599
12	0.6477120508
13	0.6471240247
14	0.646625475
15	0.6461699842
16	0.645829317
17	0.6454791418
18	0.6452000293
19	0.644969074
20	0.6447599833
21	0.6445733616
22	0.6443959799
23	0.6442091713
24	0.6440380921
25	0.6439082202
26	0.6438002415
27	0.6436716447
28	0.6435101017
29	0.6434121232
30	0.6432968444
31	0.6431995791
32	0.6431070863
33	0.6430316848
34	0.642969482
35	0.6429215607
36	0.6428464001
37	0.6427781381
38	0.6427096322
39	0.6426629037
40	0.6426045195
41	0.6425570942
42	0.6425173607
43	0.6424551606
44	0.642421628
45	0.6423691273
46	0.6423385308
47	0.6422930063
48	0.6422666235
49	0.6422315524
50	0.6421988643
51	0.6421630854
52	0.6421436929
53	0.6421028528
54	0.6420732483
55	0.6420598458
56	0.6420138947
57	0.6419878429
58	0.6419590759
59	0.6419191146
60	0.6418926471
61	0.6418696476
62	0.6418693005
63	0.6418520122
64	0.6418340945
65	0.641805521
66	0.6417942717
67	0.6417719479
68	0.64174641
69	0.6417251164
70	0.6417057875
71	0.641683803
72	0.6416564971
73	0.6416298679
74	0.6416159401
75	0.6416024239
76	0.6415797429
77	0.6415644863
78	0.641547358
79	0.6415342201
80	0.6415147524
81	0.6414980955
82	0.641471694
83	0.6414619082
84	0.6414400534
85	0.6414224549
86	0.6414002882
87	0.6413864857
88	0.6413668189
89	0.6413519413
90	0.6413503188
91	0.6413396574
92	0.6413243434
93	0.641303703
94	0.6412860637
95	0.6412773795
96	0.6412623924
97	0.6412410653
98	0.6412283417
99	0.6412061414
100	0.6411976515
101	0.6411838812
102	0.6411710783
103	0.6411516389
104	0.6411406793
105	0.6411351779
106	0.6411218396
107	0.6411074213
108	0.6410857142
109	0.6410734564
110	0.6410585056
111	0.6410415449
112	0.6410347683
113	0.6410229259
114	0.6410019453
115	0.6409785571
116	0.6409691371
117	0.6409542178
118	0.6409366096
119	0.6409344686
120	0.6409270152
121	0.6409164715
122	0.6408981468
123	0.6408857725
124	0.6408654538
125	0.6408493309
126	0.640831341
127	0.6408199747
128	0.6408105202
129	0.6407970733
130	0.6407845943
131	0.6407629688
132	0.6407578552
133	0.640740097
134	0.6407262684
135	0.640713824
136	0.6407043426
137	0.6406966318
138	0.6406911175
139	0.6406868558
140	0.6406644195
141	0.6406576209
142	0.6406485448
143	0.6406400521
144	0.6406217525
145	0.6406218763
146	0.6405977095
147	0.6405868534
148	0.640573098
149	0.6405563396
150	0.6405404422
151	0.6405337041
152	0.6405204919
153	0.6405051002
154	0.64049269
155	0.6404780085
156	0.6404731947
157	0.6404535271
158	0.6404485774
159	0.6404372727
160	0.64043011
161	0.6404220537
162	0.6404048293
163	0.6403984328
164	0.6403858645
165	0.6403766515
166	0.6403636627
167	0.6403549345
168	0.640344221
169	0.6403255659
170	0.6403092826
171	0.6403018626
172	0.6402882932
173	0.6402784268
174	0.6402777955
175	0.6402709611
176	0.6402664215
177	0.6402619264
178	0.6402530728
179	0.6402396347
180	0.6402219359
181	0.6402103846
182	0.6401962012
183	0.6401936364
184	0.6401878416
185	0.6401726879
186	0.640168164
187	0.640151257
188	0.6401428836
189	0.6401252733
190	0.64011763
191	0.6401073864
192	0.640090676
193	0.6400844338
194	0.640074539
195	0.6400718316
196	0.6400719538
197	0.640064688
198	0.6400534353
199	0.6400462325
200	0.6400423011
201	0.640031611
202	0.6400217785
203	0.6400172756
204	0.6400097042
205	0.6400027076
206	0.6399928318
207	0.6399896795
208	0.6399780189
209	0.639968457
210	0.6399606832
211	0.6399577969
212	0.6399540007
213	0.6399407484
214	0.6399281638
215	0.6399165507
216	0.6399078331
217	0.6398967824
218	0.639887043
219	0.6398786956
220	0.6398720505
221	0.6398658682
222	0.6398565958
223	0.6398465818
224	0.6398339874
225	0.6398217777
226	0.6398122095
227	0.6398040811
228	0.6397932085
229	0.6397884624
230	0.6397763915
231	0.6397717684
232	0.6397626759
233	0.6397603205
234	0.6397496637
