iter	Passed	Remaining
0	67	67779
1	236	117785
2	317	105520
3	445	110873
4	606	120619
5	804	133275
6	880	124963
7	957	118741
8	1059	116609
9	1178	116661
10	1269	114183
11	1392	114618
12	1510	114653
13	1619	114093
14	1706	112070
15	1856	114183
16	2005	115981
17	2082	113596
18	2152	111161
19	2231	109323
20	2303	107372
21	2367	105264
22	2436	103508
23	2546	103543
24	2632	102667
25	2691	100829
26	2751	99148
27	2810	97567
28	2886	96654
29	2957	95628
30	3038	94981
31	3135	94843
32	3202	93834
33	3260	92622
34	3339	92073
35	3398	91002
36	3485	90724
37	3584	90747
38	3657	90135
39	3736	89667
40	3845	89939
41	3937	89805
42	3999	89013
43	4059	88207
44	4146	88003
45	4239	87933
46	4334	87893
47	4395	87183
48	4491	87162
49	4587	87167
50	4664	86804
51	4721	86081
52	4811	85980
53	4899	85826
54	4997	85871
55	5068	85444
56	5157	85325
57	5238	85081
58	5308	84666
59	5377	84252
60	5466	84154
61	5567	84236
62	5641	83908
63	5707	83473
64	5797	83398
65	5884	83272
66	5966	83090
67	6056	83003
68	6133	82756
69	6217	82599
70	6309	82558
71	6384	82294
72	6459	82021
73	6557	82051
74	6613	81570
75	6710	81584
76	6787	81367
77	6871	81222
78	6940	80911
79	7004	80556
80	7090	80446
81	7163	80198
82	7239	79982
83	7298	79593
84	7369	79333
85	7428	78954
86	7494	78646
87	7556	78311
88	7646	78272
89	7724	78098
90	7795	77871
91	7882	77801
92	7979	77825
93	8049	77581
94	8116	77322
95	8201	77231
96	8294	77220
97	8397	77290
98	8478	77162
99	8566	77096
100	8641	76920
101	8716	76742
102	8787	76531
103	8855	76294
104	8936	76169
105	8985	75786
106	9037	75424
107	9091	75087
108	9139	74711
109	9209	74509
110	9264	74196
111	9337	74032
112	9396	73761
113	9442	73389
114	9494	73065
115	9566	72901
116	9635	72721
117	9683	72378
118	9748	72169
119	9828	72073
120	9876	71748
121	9950	71612
122	10006	71346
123	10090	71286
124	10152	71066
125	10240	71032
126	10326	70981
127	10431	71061
128	10501	70908
129	10561	70682
130	10605	70355
131	10695	70328
132	10776	70249
133	10834	70020
134	10882	69728
135	10931	69445
136	11029	69475
137	11073	69171
138	11139	68999
139	11232	69000
140	11305	68875
141	11378	68751
142	11440	68563
143	11501	68368
144	11591	68350
145	11698	68429
146	11764	68265
147	11811	67996
148	11856	67719
149	11901	67441
150	11955	67218
151	12020	67061
152	12082	66887
153	12135	66667
154	12184	66425
155	12233	66183
156	12310	66098
157	12358	65861
158	12428	65736
159	12502	65638
160	12586	65589
161	12686	65624
162	12725	65346
163	12789	65193
164	12833	64943
165	12880	64713
166	12930	64497
167	12987	64319
168	13040	64123
169	13096	63943
170	13151	63756
171	13224	63662
172	13311	63631
173	13386	63546
174	13455	63432
175	13507	63241
176	13589	63187
177	13667	63117
178	13709	62879
179	13795	62848
180	13884	62823
181	13930	62608
182	13988	62449
183	14053	62325
184	14115	62185
185	14167	62002
186	14213	61793
187	14304	61785
188	14368	61654
189	14417	61465
190	14464	61264
191	14519	61104
192	14588	60999
193	14634	60800
194	14689	60640
195	14762	60556
196	14811	60373
197	14904	60369
198	14954	60193
199	15001	60006
200	15047	59815
201	15117	59722
202	15169	59556
203	15233	59439
204	15280	59259
205	15345	59148
206	15408	59028
207	15459	58864
208	15576	58953
209	15677	58976
210	15737	58848
211	15814	58782
212	15858	58593
213	15919	58470
214	15990	58384
215	16069	58327
216	16149	58272
217	16223	58197
218	16267	58011
219	16315	57845
220	16359	57666
221	16445	57634
222	16516	57548
223	16568	57397
224	16613	57223
225	16658	57051
226	16706	56889
227	16752	56724
228	16816	56616
229	16906	56599
230	16999	56592
231	17044	56422
232	17095	56275
233	17140	56111
234	17189	55956
235	17272	55914
236	17333	55805
237	17387	55667
238	17436	55518
239	17490	55385
240	17598	55424
241	17646	55271
242	17725	55218
243	17798	55147
244	17843	54987
245	17891	54838
246	17970	54784
247	18072	54800
248	18113	54631
249	18195	54585
250	18261	54492
251	18303	54328
252	18365	54225
253	18440	54158
254	18481	53995
255	18523	53833
256	18565	53673
257	18647	53629
258	18692	53477
259	18734	53322
260	18780	53175
261	18823	53022
262	18871	52882
263	18957	52851
264	19030	52782
265	19077	52642
266	19122	52498
267	19183	52396
268	19232	52264
269	19281	52132
270	19340	52027
271	19435	52019
272	19505	51943
273	19662	52099
274	19734	52027
275	19810	51967
276	19872	51868
277	19953	51822
278	20017	51729
279	20067	51602
280	20119	51479
281	20168	51351
282	20236	51269
283	20288	51150
284	20385	51143
285	20477	51123
286	20552	51060
287	20600	50928
288	20694	50912
289	20743	50786
290	20788	50648
291	20849	50553
292	20896	50422
293	20929	50258
294	20977	50133
295	21022	49998
296	21069	49871
297	21121	49756
298	21170	49633
299	21246	49574
300	21291	49444
301	21340	49322
302	21387	49198
303	21435	49076
304	21485	48958
305	21592	48970
306	21644	48859
307	21700	48755
308	21787	48721
309	21858	48652
310	21949	48628
311	22024	48566
312	22114	48539
313	22208	48518
314	22302	48498
315	22382	48447
316	22453	48376
317	22516	48290
318	22597	48240
319	22663	48160
320	22718	48055
321	22783	47972
322	22862	47918
323	22972	47931
324	23048	47870
325	23134	47829
326	23207	47764
327	23308	47754
328	23374	47673
329	23438	47588
330	23497	47491
331	23572	47428
332	23632	47335
333	23685	47228
334	23733	47112
335	23791	47017
336	23863	46948
337	23916	46843
338	23973	46744
339	24044	46674
340	24108	46590
341	24190	46542
342	24251	46451
343	24311	46361
344	24371	46269
345	24425	46167
346	24494	46095
347	24545	45987
348	24573	45838
349	24623	45730
350	24706	45683
351	24784	45625
352	24830	45511
353	24885	45411
354	24950	45332
355	25029	45278
356	25084	45180
357	25166	45131
358	25230	45049
359	25294	44968
360	25360	44889
361	25425	44810
362	25488	44727
363	25539	44623
364	25646	44617
365	25709	44535
366	25789	44481
367	25841	44379
368	25886	44266
369	25930	44152
370	25991	44067
371	26047	43972
372	26131	43925
373	26257	43950
374	26363	43939
375	26477	43941
376	26592	43944
377	26679	43900
378	26738	43812
379	26803	43732
380	26858	43635
381	26931	43569
382	26982	43467
383	27027	43357
384	27077	43254
